position,number,driver,constructor,Q1,Q2,Q3
1,5,Michael Schumacher,Ferrari,1:11.588,1:10.636,1:10.832
2,6,Felipe Massa,Ferrari,1:11.088,1:11.146,1:11.435
3,2,Giancarlo Fisichella,Renault,1:12.287,1:11.200,1:11.920
4,11,Rubens Barrichello,Honda,1:12.156,1:11.263,1:12.109
5,1,Fernando Alonso,Renault,1:12.416,1:11.877,1:12.449
6,17,Jacques Villeneuve,BMW Sauber,1:12.114,1:11.724,1:12.479
7,12,Jenson Button,Honda,1:12.238,1:11.865,1:12.523
8,7,Ralf Schumacher,Toyota,1:11.879,1:11.673,1:12.795
9,3,Kimi Räikkönen,McLaren,1:12.777,1:12.135,1:13.174
10,16,Nick Heidfeld,BMW Sauber,1:11.891,1:11.718,1:15.280
11,4,Juan Pablo Montoya,McLaren,1:12.477,1:12.150,
12,9,Mark Webber,Williams,1:12.935,1:12.292,
13,21,Scott Speed,Toro Rosso,1:13.167,1:12.792,
14,19,Christijan Albers,MF1,1:12.711,1:12.854,
15,18,Tiago Monteiro,MF1,1:12.627,1:12.864,
16,15,Christian Klien,Red Bull,1:12.773,1:12.925,
17,14,David Coulthard,Red Bull,1:13.180,,
18,22,Takuma Sato,Super Aguri,1:13.496,,
19,10,Nico Rosberg,Williams,1:13.506,,
20,8,Jarno Trulli,Toyota,1:13.787,,
21,20,Vitantonio Liuzzi,Toro Rosso,1:14.041,,
22,23,Franck Montagny,Super Aguri,1:16.036,,
