round,raceName,date,time,circuit,country
1,Australian Grand Prix,1997-03-09,,Albert Park Grand Prix Circuit,Australia
2,Brazilian Grand Prix,1997-03-30,,Autódromo José Carlos Pace,Brazil
3,Argentine Grand Prix,1997-04-13,,Autódromo Juan y Oscar Gálvez,Argentina
4,San Marino Grand Prix,1997-04-27,,Autodromo Enzo e Dino Ferrari,Italy
5,Monaco Grand Prix,1997-05-11,,Circuit de Monaco,Monaco
6,Spanish Grand Prix,1997-05-25,,Circuit de Barcelona-Catalunya,Spain
7,Canadian Grand Prix,1997-06-15,,Circuit Gilles Villeneuve,Canada
8,French Grand Prix,1997-06-29,,Circuit de Nevers Magny-Cours,France
9,British Grand Prix,1997-07-13,,Silverstone Circuit,UK
10,German Grand Prix,1997-07-27,,Hockenheimring,Germany
11,Hungarian Grand Prix,1997-08-10,,Hungaroring,Hungary
12,Belgian Grand Prix,1997-08-24,,Circuit de Spa-Francorchamps,Belgium
13,Italian Grand Prix,1997-09-07,,Autodromo Nazionale di Monza,Italy
14,Austrian Grand Prix,1997-09-21,,Red Bull Ring,Austria
15,Luxembourg Grand Prix,1997-09-28,,Nürburgring,Germany
16,Japanese Grand Prix,1997-10-12,,Suzuka Circuit,Japan
17,European Grand Prix,1997-10-26,,Circuito de Jerez,Spain
