round,raceName,date,time,circuit,country
1,Brazilian Grand Prix,1983-03-13,,Autódromo Internacional Nelson Piquet,Brazil
2,United States Grand Prix West,1983-03-27,,Long Beach,USA
3,French Grand Prix,1983-04-17,,Circuit Paul Ricard,France
4,San Marino Grand Prix,1983-05-01,,Autodromo Enzo e Dino Ferrari,Italy
5,Monaco Grand Prix,1983-05-15,,Circuit de Monaco,Monaco
6,Belgian Grand Prix,1983-05-22,,Circuit de Spa-Francorchamps,Belgium
7,Detroit Grand Prix,1983-06-05,,Detroit Street Circuit,USA
8,Canadian Grand Prix,1983-06-12,,Circuit Gilles Villeneuve,Canada
9,British Grand Prix,1983-07-16,,Silverstone Circuit,UK
10,German Grand Prix,1983-08-07,,Hockenheimring,Germany
11,Austrian Grand Prix,1983-08-14,,Red Bull Ring,Austria
12,Dutch Grand Prix,1983-08-28,,Circuit Park Zandvoort,Netherlands
13,Italian Grand Prix,1983-09-11,,Autodromo Nazionale di Monza,Italy
14,European Grand Prix,1983-09-25,,Brands Hatch,UK
15,South African Grand Prix,1983-10-15,,Kyalami,South Africa
