Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,McLaren,88,1
2,Fernando Alonso,Ferrari,86,1
3,Sebastian Vettel,Red Bull,85,1
4,Mark Webber,Red Bull,79,1
5,Nico Rosberg,Mercedes,67,1
6,Kimi Räikkönen,Lotus F1,55,0
7,Romain Grosjean,Lotus F1,53,0
8,Jenson Button,McLaren,45,1
9,Sergio Pérez,Sauber,37,0
10,Pastor Maldonado,Williams,29,1
11,Kamui Kobayashi,Sauber,21,0
12,Paul di Resta,Force India,21,0
13,Bruno Senna,Williams,15,0
14,Felipe Massa,Ferrari,11,0
15,Nico Hülkenberg,Force India,7,0
16,Jean-Éric Vergne,Toro Rosso,4,0
17,Daniel Ricciardo,Toro Rosso,2,0
18,Michael Schumacher,Mercedes,2,0
19,Heikki Kovalainen,Caterham,0,0
20,Timo Glock,Marussia,0,0
21,Charles Pic,Marussia,0,0
22,Narain Karthikeyan,HRT,0,0
23,Vitaly Petrov,Caterham,0,0
24,Pedro de la Rosa,HRT,0,0
