position,number,driver,constructor,Q1,Q2,Q3
1,2,Ayrton Senna,Williams,1:21.548,,
2,5,Michael Schumacher,Benetton,1:21.885,,
3,28,Gerhard Berger,Ferrari,1:22.113,,
4,0,Damon Hill,Williams,1:22.168,,
5,6,Jyrki Järvilehto,Benetton,1:22.717,,
6,27,Nicola Larini,Ferrari,1:22.841,,
7,30,Heinz-Harald Frentzen,Sauber,1:23.119,,
8,7,Mika Häkkinen,McLaren,1:23.140,,
9,3,Ukyo Katayama,Tyrrell,1:23.322,,
10,29,Karl Wendlinger,Sauber,1:23.347,,
11,10,Gianni Morbidelli,Footwork,1:23.663,,
12,4,Mark Blundell,Tyrrell,1:23.703,,
13,8,Martin Brundle,McLaren,1:23.858,,
14,23,Pierluigi Martini,Minardi,1:24.078,,
15,24,Michele Alboreto,Minardi,1:24.276,,
16,9,Christian Fittipaldi,Footwork,1:24.472,,
17,25,Éric Bernard,Ligier,1:24.678,,
18,20,Érik Comas,Larrousse,1:24.852,,
19,26,Olivier Panis,Ligier,1:24.996,,
20,12,Johnny Herbert,Team Lotus,1:25.114,,
21,15,Andrea de Cesaris,Jordan,1:25.234,,
22,11,Pedro Lamy,Team Lotus,1:25.295,,
23,19,Olivier Beretta,Larrousse,1:25.991,,
24,31,David Brabham,Simtek,1:26.817,,
25,34,Bertrand Gachot,Pacific,1:27.143,,
26,32,Roland Ratzenberger,Simtek,1:27.584,,
27,33,Paul Belmondo,Pacific,1:27.881,,
28,14,Rubens Barrichello,Jordan,,,
