position,number,driver,constructor,Q1,Q2,Q3
1,22,Lewis Hamilton,McLaren,1:15.218,1:14.603,1:15.666
2,2,Felipe Massa,Ferrari,1:14.921,1:14.747,1:15.859
3,23,Heikki Kovalainen,McLaren,1:15.476,1:14.855,1:16.143
4,11,Jarno Trulli,Toyota,1:15.560,1:15.122,1:16.191
5,5,Fernando Alonso,Renault,1:15.917,1:14.943,1:16.385
6,1,Kimi Räikkönen,Ferrari,1:15.201,1:14.949,1:16.389
7,4,Robert Kubica,BMW Sauber,1:15.985,1:15.109,1:16.521
8,10,Mark Webber,Red Bull,1:15.900,1:15.481,1:17.014
9,15,Sebastian Vettel,Toro Rosso,1:15.532,1:15.420,1:17.244
10,9,David Coulthard,Red Bull,1:15.975,1:15.338,1:17.503
11,12,Timo Glock,Toyota,1:15.560,1:15.508,
12,3,Nick Heidfeld,BMW Sauber,1:15.596,1:15.581,
13,7,Nico Rosberg,Williams,1:15.863,1:15.633,
14,16,Jenson Button,Honda,1:15.993,1:15.701,
15,14,Sébastien Bourdais,Toro Rosso,1:15.927,1:15.858,
16,8,Kazuki Nakajima,Williams,1:16.083,,
17,6,Nelson Piquet Jr.,Renault,1:16.189,,
18,17,Rubens Barrichello,Honda,1:16.246,,
19,20,Adrian Sutil,Force India,1:16.657,,
20,21,Giancarlo Fisichella,Force India,1:16.963,,
