Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,137,4
2,Valtteri Bottas,Mercedes,120,2
3,Sebastian Vettel,Ferrari,82,0
4,Max Verstappen,Red Bull,78,0
5,Charles Leclerc,Ferrari,57,0
6,Pierre Gasly,Red Bull,32,0
7,Carlos Sainz,McLaren,18,0
8,Kevin Magnussen,Haas F1 Team,14,0
9,Sergio Pérez,Racing Point,13,0
10,Kimi Räikkönen,Alfa Romeo,13,0
11,Lando Norris,McLaren,12,0
12,Daniil Kvyat,Toro Rosso,9,0
13,Daniel Ricciardo,Renault,8,0
14,Alexander Albon,Toro Rosso,7,0
15,Nico Hülkenberg,Renault,6,0
16,Lance Stroll,Racing Point,4,0
17,Romain Grosjean,Haas F1 Team,2,0
18,Antonio Giovinazzi,Alfa Romeo,0,0
19,George Russell,Williams,0,0
20,Robert Kubica,Williams,0,0
