position,number,driver,constructor,Q1,Q2,Q3
1,1,Sebastian Vettel,Red Bull,1:35.674,1:34.776,1:33.706
2,4,Jenson Button,McLaren,1:35.924,1:34.662,1:34.421
3,3,Lewis Hamilton,McLaren,1:36.091,1:34.486,1:34.463
4,8,Nico Rosberg,Mercedes,1:35.272,1:35.850,1:34.670
5,5,Fernando Alonso,Ferrari,1:35.389,1:35.165,1:35.119
6,6,Felipe Massa,Ferrari,1:35.478,1:35.437,1:35.145
7,19,Jaime Alguersuari,Toro Rosso,1:36.133,1:35.563,1:36.158
8,15,Paul di Resta,Force India,1:35.702,1:35.858,1:36.190
9,18,Sébastien Buemi,Toro Rosso,1:36.110,1:35.500,1:36.203
10,10,Vitaly Petrov,Renault,1:35.370,1:35.149,
11,14,Adrian Sutil,Force India,1:36.092,1:35.874,
12,17,Sergio Pérez,Sauber,1:36.046,1:36.053,
13,16,Kamui Kobayashi,Sauber,1:36.147,1:36.236,
14,7,Michael Schumacher,Mercedes,1:35.508,1:36.457,
15,11,Rubens Barrichello,Williams,1:35.911,1:36.465,
16,9,Nick Heidfeld,Renault,1:35.910,1:36.611,
17,12,Pastor Maldonado,Williams,1:36.121,1:36.956,
18,2,Mark Webber,Red Bull,1:36.468,,
19,20,Heikki Kovalainen,Lotus,1:37.894,,
20,21,Jarno Trulli,Lotus,1:38.318,,
21,25,Jérôme d'Ambrosio,Virgin,1:39.119,,
22,24,Timo Glock,Virgin,1:39.708,,
23,23,Vitantonio Liuzzi,HRT,1:40.212,,
24,22,Narain Karthikeyan,HRT,1:40.445,,
