position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:25.351,1:24.605,1:23.837
2,6,Nico Rosberg,Mercedes,1:26.934,1:24.796,1:24.197
3,5,Sebastian Vettel,Ferrari,1:26.945,1:25.257,1:24.675
4,7,Kimi Räikkönen,Ferrari,1:26.579,1:25.615,1:25.033
5,33,Max Verstappen,Toro Rosso,1:26.934,1:25.615,1:25.434
6,19,Felipe Massa,Williams,1:25.918,1:25.644,1:25.458
7,55,Carlos Sainz,Toro Rosso,1:27.057,1:25.384,1:25.582
8,3,Daniel Ricciardo,Red Bull,1:26.945,1:25.599,1:25.589
9,11,Sergio Pérez,Force India,1:26.607,1:25.753,
10,27,Nico Hülkenberg,Force India,1:26.550,1:25.865,
11,77,Valtteri Bottas,Williams,1:27.135,1:25.961,
12,14,Fernando Alonso,McLaren,1:26.537,1:26.125,
13,22,Jenson Button,McLaren,1:26.740,1:26.304,
14,30,Jolyon Palmer,Renault,1:27.241,1:27.601,
15,20,Kevin Magnussen,Renault,1:27.297,1:27.742,
16,9,Marcus Ericsson,Sauber,1:27.435,,
17,12,Felipe Nasr,Sauber,1:27.958,,
18,26,Daniil Kvyat,Red Bull,1:28.006,,
19,8,Romain Grosjean,Haas F1 Team,1:28.322,,
20,21,Esteban Gutiérrez,Haas F1 Team,1:29.606,,
21,88,Rio Haryanto,Manor Marussia,1:29.627,,
22,94,Pascal Wehrlein,Manor Marussia,1:29.642,,
