Position,Driver,Constructor,Points,Wins
1,Sebastian Vettel,Ferrari,86,2
2,Lewis Hamilton,Mercedes,73,1
3,Valtteri Bottas,Mercedes,63,1
4,Kimi Räikkönen,Ferrari,49,0
5,Max Verstappen,Red Bull,35,0
6,Daniel Ricciardo,Red Bull,22,0
7,Sergio Pérez,Force India,22,0
8,Felipe Massa,Williams,18,0
9,Carlos Sainz,Toro Rosso,11,0
10,Esteban Ocon,Force India,9,0
11,Nico Hülkenberg,Renault,6,0
12,Romain Grosjean,Haas F1 Team,4,0
13,Kevin Magnussen,Haas F1 Team,4,0
14,Daniil Kvyat,Toro Rosso,2,0
15,Pascal Wehrlein,Sauber,0,0
16,Lance Stroll,Williams,0,0
17,Antonio Giovinazzi,Sauber,0,0
18,Jolyon Palmer,Renault,0,0
19,Stoffel Vandoorne,McLaren,0,0
20,Fernando Alonso,McLaren,0,0
21,Marcus Ericsson,Sauber,0,0
