position,number,driver,constructor,Q1,Q2,Q3
1,5,Sebastian Vettel,Ferrari,1:34.493,1:34.038,1:33.194
2,7,Kimi Räikkönen,Ferrari,1:34.953,1:33.663,1:33.253
3,77,Valtteri Bottas,Mercedes,1:34.041,1:33.264,1:33.289
4,44,Lewis Hamilton,Mercedes,1:34.409,1:33.760,1:33.767
5,3,Daniel Ricciardo,Red Bull,1:35.560,1:35.483,1:34.905
6,19,Felipe Massa,Williams,1:35.828,1:35.049,1:35.110
7,33,Max Verstappen,Red Bull,1:35.301,1:35.221,1:35.161
8,27,Nico Hülkenberg,Renault,1:35.507,1:35.328,1:35.285
9,11,Sergio Pérez,Force India,1:36.185,1:35.513,1:35.337
10,31,Esteban Ocon,Force India,1:35.372,1:35.729,1:35.430
11,55,Carlos Sainz,Toro Rosso,1:35.827,1:35.948,
12,18,Lance Stroll,Williams,1:36.279,1:35.964,
13,26,Daniil Kvyat,Toro Rosso,1:35.984,1:35.968,
14,20,Kevin Magnussen,Haas F1 Team,1:36.408,1:36.017,
15,14,Fernando Alonso,McLaren,1:36.353,1:36.660,
16,30,Jolyon Palmer,Renault,1:36.462,,
17,2,Stoffel Vandoorne,McLaren,1:37.070,,
18,94,Pascal Wehrlein,Sauber,1:37.332,,
19,9,Marcus Ericsson,Sauber,1:37.507,,
20,8,Romain Grosjean,Haas F1 Team,1:37.620,,
