position,number,driver,constructor,Q1,Q2,Q3
1,1,Michael Schumacher,Ferrari,1:20.356,,
2,5,Damon Hill,Williams,1:20.866,,
3,3,Jean Alesi,Benetton,1:20.918,,
4,4,Gerhard Berger,Benetton,1:21.067,,
5,8,David Coulthard,McLaren,1:21.460,,
6,11,Rubens Barrichello,Jordan,1:21.504,,
7,2,Eddie Irvine,Ferrari,1:21.542,,
8,7,Mika Häkkinen,McLaren,1:21.688,,
9,15,Heinz-Harald Frentzen,Sauber,1:21.929,,
10,6,Jacques Villeneuve,Williams,1:21.963,,
11,19,Mika Salo,Tyrrell,1:22.235,,
12,17,Jos Verstappen,Footwork,1:22.327,,
13,14,Johnny Herbert,Sauber,1:22.346,,
14,9,Olivier Panis,Ligier,1:22.358,,
15,18,Ukyo Katayama,Tyrrell,1:22.460,,
16,12,Martin Brundle,Jordan,1:22.519,,
17,10,Pedro Diniz,Ligier,1:22.682,,
18,21,Giancarlo Fisichella,Minardi,1:22.684,,
19,20,Pedro Lamy,Minardi,1:23.350,,
20,16,Ricardo Rosset,Footwork,1:24.976,,
21,22,Luca Badoer,Forti,1:25.059,,
22,23,Andrea Montermini,Forti,1:25.393,,
