Position,Driver,Constructor,Points,Wins
1,Michael Schumacher,Ferrari,24,2
2,Ralf Schumacher,Williams,16,1
3,Juan Pablo Montoya,Williams,14,0
4,Jenson Button,Renault,6,0
5,Kimi Räikkönen,McLaren,4,0
6,David Coulthard,McLaren,4,0
7,Eddie Irvine,Jaguar,3,0
8,Mark Webber,Minardi,2,0
9,Nick Heidfeld,Sauber,2,0
10,Mika Salo,Toyota,2,0
11,Felipe Massa,Sauber,1,0
12,Alex Yoong,Minardi,0,0
13,Allan McNish,Toyota,0,0
14,Pedro de la Rosa,Jaguar,0,0
15,Jacques Villeneuve,BAR,0,0
16,Takuma Sato,Jordan,0,0
17,Heinz-Harald Frentzen,Arrows,0,0
18,Giancarlo Fisichella,Jordan,0,0
