position,number,driver,constructor,Q1,Q2,Q3
1,9,Kimi Räikkönen,McLaren,1:14.320,,
2,3,Jenson Button,BAR,1:14.759,,
3,5,Fernando Alonso,Renault,1:14.904,,
4,6,Giancarlo Fisichella,Renault,1:14.927,,
5,1,Michael Schumacher,Ferrari,1:15.006,,
6,7,Mark Webber,Williams,1:15.070,,
7,8,Nick Heidfeld,Williams,1:15.403,,
8,4,Takuma Sato,BAR,1:15.501,,
9,16,Jarno Trulli,Toyota,1:15.532,,
10,15,Christian Klien,Red Bull,1:15.635,,
11,14,David Coulthard,Red Bull,1:15.679,,
12,17,Ralf Schumacher,Toyota,1:15.689,,
13,12,Felipe Massa,Sauber,1:16.009,,
14,11,Jacques Villeneuve,Sauber,1:16.012,,
15,2,Rubens Barrichello,Ferrari,1:16.230,,
16,21,Christijan Albers,Minardi,1:17.519,,
17,20,Robert Doornbos,Minardi,1:18.313,,
18,18,Tiago Monteiro,Jordan,1:18.599,,
19,10,Juan Pablo Montoya,McLaren,,,
20,19,Narain Karthikeyan,Jordan,,,
