position,number,driver,constructor,Q1,Q2,Q3
1,22,Lewis Hamilton,McLaren,1:35.566,1:34.947,1:36.303
2,1,Kimi Räikkönen,Ferrari,1:35.983,1:35.355,1:36.645
3,2,Felipe Massa,Ferrari,1:35.971,1:35.135,1:36.889
4,5,Fernando Alonso,Renault,1:35.769,1:35.461,1:36.927
5,23,Heikki Kovalainen,McLaren,1:35.623,1:35.216,1:36.930
6,10,Mark Webber,Red Bull,1:36.238,1:35.686,1:37.083
7,3,Nick Heidfeld,BMW Sauber,1:36.224,1:35.403,1:37.201
8,15,Sebastian Vettel,Toro Rosso,1:35.752,1:35.386,1:37.685
9,11,Jarno Trulli,Toyota,1:36.104,1:35.715,1:37.934
10,14,Sébastien Bourdais,Toro Rosso,1:36.239,1:35.478,1:38.885
11,6,Nelson Piquet Jr.,Renault,1:36.029,1:35.722,
12,4,Robert Kubica,BMW Sauber,1:36.503,1:35.814,
13,12,Timo Glock,Toyota,1:36.210,1:35.937,
14,17,Rubens Barrichello,Honda,1:36.640,1:36.079,
15,7,Nico Rosberg,Williams,1:36.434,1:36.210,
16,9,David Coulthard,Red Bull,1:36.731,,
17,8,Kazuki Nakajima,Williams,1:36.863,,
18,16,Jenson Button,Honda,1:37.053,,
19,20,Adrian Sutil,Force India,1:37.730,,
20,21,Giancarlo Fisichella,Force India,1:37.739,,
