position,number,driver,constructor,Q1,Q2,Q3
1,77,Valtteri Bottas,Mercedes,1:09.452,1:08.638,1:08.322
2,5,Sebastian Vettel,Ferrari,1:09.643,1:08.494,1:08.360
3,7,Kimi Räikkönen,Ferrari,1:09.405,1:09.116,1:08.538
4,33,Max Verstappen,Red Bull,1:09.820,1:09.050,1:08.925
5,3,Daniel Ricciardo,Red Bull,1:09.828,1:09.533,1:09.330
6,11,Sergio Pérez,Force India,1:10.145,1:09.760,1:09.598
7,14,Fernando Alonso,McLaren,1:10.172,1:09.593,1:09.617
8,27,Nico Hülkenberg,Renault,1:10.078,1:09.726,1:09.703
9,55,Carlos Sainz,Renault,1:10.227,1:09.768,1:09.805
10,19,Felipe Massa,Williams,1:09.789,1:09.612,1:09.841
11,31,Esteban Ocon,Force India,1:10.168,1:09.830,
12,8,Romain Grosjean,Haas F1 Team,1:10.148,1:09.879,
13,2,Stoffel Vandoorne,McLaren,1:10.286,1:10.116,
14,20,Kevin Magnussen,Haas F1 Team,1:10.521,1:10.154,
15,28,Brendon Hartley,Toro Rosso,1:10.625,,
16,94,Pascal Wehrlein,Sauber,1:10.678,,
17,10,Pierre Gasly,Toro Rosso,1:10.686,,
18,18,Lance Stroll,Williams,1:10.776,,
19,9,Marcus Ericsson,Sauber,1:10.875,,
20,44,Lewis Hamilton,Mercedes,,,
