Position,Driver,Constructor,Points,Wins
1,Fernando Alonso,Ferrari,25,1
2,Felipe Massa,Ferrari,18,0
3,Lewis Hamilton,McLaren,15,0
4,Sebastian Vettel,Red Bull,12,0
5,Nico Rosberg,Mercedes,10,0
6,Michael Schumacher,Mercedes,8,0
7,Jenson Button,McLaren,6,0
8,Mark Webber,Red Bull,4,0
9,Vitantonio Liuzzi,Force India,2,0
10,Rubens Barrichello,Williams,1,0
11,Robert Kubica,Renault,0,0
12,Adrian Sutil,Force India,0,0
13,Jaime Alguersuari,Toro Rosso,0,0
14,Nico Hülkenberg,Williams,0,0
15,Heikki Kovalainen,Lotus,0,0
16,Sébastien Buemi,Toro Rosso,0,0
17,Jarno Trulli,Lotus,0,0
18,Pedro de la Rosa,Sauber,0,0
19,Bruno Senna,HRT,0,0
20,Timo Glock,Virgin,0,0
21,Vitaly Petrov,Renault,0,0
22,Kamui Kobayashi,Sauber,0,0
23,Lucas di Grassi,Virgin,0,0
24,Karun Chandhok,HRT,0,0
