Position,Driver,Constructor,Points,Wins
1,Sebastian Vettel,Ferrari,129,3
2,Lewis Hamilton,Mercedes,104,2
3,Valtteri Bottas,Mercedes,75,1
4,Kimi Räikkönen,Ferrari,67,0
5,Daniel Ricciardo,Red Bull,52,0
6,Max Verstappen,Red Bull,45,0
7,Sergio Pérez,Force India,34,0
8,Carlos Sainz,Toro Rosso,25,0
9,Felipe Massa,Williams,20,0
10,Esteban Ocon,Force India,19,0
11,Nico Hülkenberg,Renault,14,0
12,Romain Grosjean,Haas F1 Team,9,0
13,Kevin Magnussen,Haas F1 Team,5,0
14,Pascal Wehrlein,Sauber,4,0
15,Daniil Kvyat,Toro Rosso,4,0
16,Jolyon Palmer,Renault,0,0
17,Marcus Ericsson,Sauber,0,0
18,Lance Stroll,Williams,0,0
19,Fernando Alonso,McLaren,0,0
20,Antonio Giovinazzi,Sauber,0,0
21,Stoffel Vandoorne,McLaren,0,0
22,Jenson Button,McLaren,0,0
