round,raceName,date,time,circuit,country
1,United States Grand Prix,1991-03-10,,Phoenix street circuit,USA
2,Brazilian Grand Prix,1991-03-24,,Autódromo José Carlos Pace,Brazil
3,San Marino Grand Prix,1991-04-28,,Autodromo Enzo e Dino Ferrari,Italy
4,Monaco Grand Prix,1991-05-12,,Circuit de Monaco,Monaco
5,Canadian Grand Prix,1991-06-02,,Circuit Gilles Villeneuve,Canada
6,Mexican Grand Prix,1991-06-16,,Autódromo Hermanos Rodríguez,Mexico
7,French Grand Prix,1991-07-07,,Circuit de Nevers Magny-Cours,France
8,British Grand Prix,1991-07-14,,Silverstone Circuit,UK
9,German Grand Prix,1991-07-28,,Hockenheimring,Germany
10,Hungarian Grand Prix,1991-08-11,,Hungaroring,Hungary
11,Belgian Grand Prix,1991-08-25,,Circuit de Spa-Francorchamps,Belgium
12,Italian Grand Prix,1991-09-08,,Autodromo Nazionale di Monza,Italy
13,Portuguese Grand Prix,1991-09-22,,Autódromo do Estoril,Portugal
14,Spanish Grand Prix,1991-09-29,,Circuit de Barcelona-Catalunya,Spain
15,Japanese Grand Prix,1991-10-20,,Suzuka Circuit,Japan
16,Australian Grand Prix,1991-11-03,,Adelaide Street Circuit,Australia
