position,number,driver,constructor,Q1,Q2,Q3
1,1,Sebastian Vettel,Red Bull,1:25.296,1:24.090,1:23.529
2,3,Lewis Hamilton,McLaren,1:25.384,1:24.595,1:24.307
3,2,Mark Webber,Red Bull,1:25.900,1:24.658,1:24.395
4,4,Jenson Button,McLaren,1:25.886,1:24.957,1:24.779
5,5,Fernando Alonso,Ferrari,1:25.707,1:25.242,1:24.974
6,10,Vitaly Petrov,Renault,1:25.543,1:25.582,1:25.247
7,8,Nico Rosberg,Mercedes,1:25.856,1:25.606,1:25.421
8,6,Felipe Massa,Ferrari,1:26.031,1:25.611,1:25.599
9,16,Kamui Kobayashi,Sauber,1:25.717,1:25.405,1:25.626
10,18,Sébastien Buemi,Toro Rosso,1:26.232,1:25.882,1:27.066
11,7,Michael Schumacher,Mercedes,1:25.962,1:25.971,
12,19,Jaime Alguersuari,Toro Rosso,1:26.620,1:26.103,
13,17,Sergio Pérez,Sauber,1:25.812,1:26.108,
14,15,Paul di Resta,Force India,1:27.222,1:26.739,
15,12,Pastor Maldonado,Williams,1:26.298,1:26.768,
16,14,Adrian Sutil,Force India,1:26.245,1:31.407,
17,11,Rubens Barrichello,Williams,1:26.270,,
18,9,Nick Heidfeld,Renault,1:27.239,,
19,20,Heikki Kovalainen,Lotus,1:29.254,,
20,21,Jarno Trulli,Lotus,1:29.342,,
21,24,Timo Glock,Virgin,1:29.858,,
22,25,Jérôme d'Ambrosio,Virgin,1:30.822,,
23,23,Vitantonio Liuzzi,HRT,1:32.978,,
24,22,Narain Karthikeyan,HRT,1:34.293,,
