Position,Driver,Constructor,Points,Wins
1,Jackie Stewart,Tyrrell,24,2
2,Jacky Ickx,Ferrari,19,1
3,Mario Andretti,Ferrari,9,1
4,Pedro Rodríguez,BRM,9,0
5,Ronnie Peterson,March-Ford,9,0
6,Clay Regazzoni,Ferrari,8,0
7,Chris Amon,Matra,6,0
8,Denny Hulme,McLaren,6,0
9,Reine Wisell,Lotus-Ford,3,0
10,John Surtees,Surtees,2,0
11,Emerson Fittipaldi,Lotus-Ford,2,0
12,Jean-Pierre Beltoise,Matra,1,0
13,Rolf Stommelen,Surtees,1,0
14,Jo Siffert,BRM,1,0
15,Howden Ganley,BRM,0,0
16,François Cevert,Tyrrell,0,0
17,Brian Redman,Surtees,0,0
18,Henri Pescarolo,March-Ford,0,0
19,Peter Gethin,McLaren,0,0
20,Gijs van Lennep,Surtees,0,0
21,Tim Schenken,Brabham,0,0
22,Graham Hill,Brabham,0,0
23,Andrea de Adamich,March-Alfa Romeo,0,0
24,Skip Barber,March-Ford,0,0
25,Alex Soler-Roig,March-Ford,0,0
26,Dave Charlton,Brabham,0,0
27,John Love,March-Ford,0,0
28,Jackie Pretorius,Brabham,0,0
29,David Walker,Lotus-Pratt &amp; Whitney,0,0
30,Jo Bonnier,McLaren,0,0
