lap,position,driver,time
10,13,kevin_magnussen,1:59.929
10,14,vandoorne,1:45.271
10,15,grosjean,1:42.215
10,16,alonso,1:42.555
10,17,sirotkin,1:51.949
10,18,stroll,1:42.409
11,1,bottas,1:40.267
11,2,hamilton,1:40.292
11,3,vettel,1:40.108
11,4,raikkonen,1:40.689
11,5,max_verstappen,1:39.746
11,6,perez,1:41.143
11,7,ricciardo,1:40.622
11,8,hulkenberg,1:41.536
11,9,sainz,1:42.785
11,10,ericsson,1:46.709
11,11,leclerc,2:01.264
11,12,kevin_magnussen,1:41.641
11,13,ocon,2:01.760
11,14,grosjean,1:41.841
11,15,vandoorne,1:49.604
11,16,alonso,1:42.014
11,17,stroll,1:42.579
11,18,sirotkin,2:03.408
12,1,hamilton,1:40.012
12,2,vettel,1:40.027
12,3,bottas,1:44.763
12,4,raikkonen,1:40.478
12,5,max_verstappen,1:39.908
12,6,ricciardo,1:40.528
12,7,perez,1:45.339
12,8,hulkenberg,1:41.457
12,9,sainz,1:42.924
12,10,leclerc,1:40.658
12,11,kevin_magnussen,1:40.867
12,12,ocon,1:40.776
12,13,grosjean,1:41.132
12,14,ericsson,2:01.115
12,15,alonso,1:42.330
12,16,stroll,1:42.450
12,17,vandoorne,2:02.919
12,18,sirotkin,1:41.925
13,1,hamilton,1:39.553
13,2,vettel,1:44.329
13,3,raikkonen,1:40.759
13,4,max_verstappen,1:39.762
13,5,bottas,1:58.780
13,6,ricciardo,1:40.515
13,7,hulkenberg,1:41.530
13,8,sainz,1:43.021
13,9,leclerc,1:41.229
13,10,kevin_magnussen,1:41.405
13,11,ocon,1:41.394
13,12,perez,2:01.517
13,13,grosjean,1:41.213
13,14,ericsson,1:41.583
13,15,alonso,1:42.148
13,16,stroll,1:42.409
13,17,vandoorne,1:42.191
13,18,sirotkin,1:42.184
14,1,hamilton,1:44.617
14,2,raikkonen,1:40.642
14,3,max_verstappen,1:39.507
14,4,bottas,1:40.233
14,5,vettel,1:57.762
14,6,ricciardo,1:40.146
14,7,hulkenberg,1:41.311
14,8,leclerc,1:41.658
14,9,sainz,1:44.774
14,10,kevin_magnussen,1:41.723
14,11,ocon,1:41.644
14,12,perez,1:41.219
14,13,grosjean,1:41.607
14,14,ericsson,1:41.231
14,15,alonso,1:42.085
14,16,stroll,1:42.577
14,17,vandoorne,1:42.394
14,18,sirotkin,1:41.800
15,1,raikkonen,1:40.420
15,2,max_verstappen,1:39.718
15,3,bottas,1:39.398
15,4,vettel,1:39.353
15,5,hamilton,1:59.661
15,6,ricciardo,1:39.898
15,7,hulkenberg,1:41.245
15,8,leclerc,1:41.309
15,9,sainz,1:42.993
15,10,kevin_magnussen,1:42.120
15,11,ocon,1:42.041
15,12,perez,1:41.649
15,13,grosjean,1:41.063
15,14,ericsson,1:41.126
15,15,alonso,1:41.923
15,16,stroll,1:42.103
15,17,vandoorne,1:42.436
15,18,sirotkin,1:41.987
16,1,raikkonen,1:40.280
16,2,max_verstappen,1:39.582
16,3,bottas,1:39.746
16,4,hamilton,1:39.616
16,5,vettel,1:41.443
16,6,ricciardo,1:39.932
16,7,hulkenberg,1:40.880
16,8,leclerc,1:41.036
16,9,sainz,1:42.514
16,10,kevin_magnussen,1:42.238
16,11,ocon,1:41.998
16,12,perez,1:42.423
16,13,grosjean,1:41.397
16,14,ericsson,1:41.304
16,15,alonso,1:41.951
16,16,stroll,1:41.979
16,17,vandoorne,1:41.768
16,18,sirotkin,1:41.723
17,1,raikkonen,1:40.161
17,2,max_verstappen,1:39.415
17,3,bottas,1:38.856
17,4,hamilton,1:38.644
17,5,vettel,1:39.132
17,6,ricciardo,1:39.828
17,7,hulkenberg,1:40.827
17,8,leclerc,1:40.828
17,9,sainz,1:42.313
17,10,kevin_magnussen,1:42.105
17,11,ocon,1:42.114
17,12,perez,1:41.682
17,13,grosjean,1:40.685
17,14,ericsson,1:40.777
17,15,alonso,1:41.958
17,16,stroll,1:41.921
17,17,vandoorne,1:41.896
17,18,sirotkin,1:41.589
18,1,raikkonen,1:44.806
18,2,max_verstappen,1:39.148
18,3,bottas,1:38.535
18,4,hamilton,1:38.537
18,5,vettel,1:39.156
18,6,ricciardo,1:39.723
18,7,hulkenberg,1:40.884
18,8,leclerc,1:40.747
18,9,kevin_magnussen,1:41.177
18,10,ocon,1:41.493
18,11,perez,1:41.798
18,12,sainz,1:46.216
18,13,grosjean,1:40.935
18,14,ericsson,1:41.051
18,15,alonso,1:41.977
18,16,stroll,1:41.699
18,17,vandoorne,1:42.006
18,18,sirotkin,1:41.651
19,1,max_verstappen,1:39.295
19,2,bottas,1:38.648
19,3,hamilton,1:38.826
19,4,vettel,1:38.429
19,5,raikkonen,1:58.151
19,6,ricciardo,1:39.872
19,7,hulkenberg,1:40.809
19,8,leclerc,1:40.939
19,9,kevin_magnussen,1:42.142
19,10,ocon,1:41.817
19,11,perez,1:41.401
19,12,sainz,1:42.342
19,13,grosjean,1:40.990
19,14,ericsson,1:41.513
19,15,alonso,1:42.260
19,16,stroll,1:42.091
19,17,vandoorne,1:42.078
19,18,sirotkin,1:41.768
20,1,max_verstappen,1:39.339
20,2,bottas,1:38.789
