position,number,driver,constructor,Q1,Q2,Q3
1,1,Sebastian Vettel,Red Bull,1:26.218,1:24.657,1:24.178
2,3,Lewis Hamilton,McLaren,1:26.563,1:25.019,1:24.474
3,2,Mark Webber,Red Bull,1:26.473,1:25.282,1:24.508
4,5,Fernando Alonso,Ferrari,1:26.774,1:25.158,1:24.519
5,4,Jenson Button,McLaren,1:26.225,1:25.299,1:24.950
6,6,Felipe Massa,Ferrari,1:27.012,1:25.522,1:25.122
7,8,Nico Rosberg,Mercedes,1:26.364,1:25.555,1:25.451
8,14,Adrian Sutil,Force India,1:26.271,1:26.140,
9,18,Sébastien Buemi,Toro Rosso,1:26.608,1:26.161,
10,19,Jaime Alguersuari,Toro Rosso,1:26.557,1:26.319,
11,10,Vitaly Petrov,Renault,1:26.189,1:26.319,
12,7,Michael Schumacher,Mercedes,1:26.790,1:26.337,
13,15,Paul di Resta,Force India,1:26.864,1:26.503,
14,12,Pastor Maldonado,Williams,1:26.829,1:26.537,
15,9,Bruno Senna,Renault,1:26.766,1:26.651,
16,11,Rubens Barrichello,Williams,1:27.479,1:27.247,
17,17,Sergio Pérez,Sauber,1:27.249,1:27.562,
18,16,Kamui Kobayashi,Sauber,1:27.876,,
19,20,Heikki Kovalainen,Lotus,1:28.565,,
20,21,Jarno Trulli,Lotus,1:28.752,,
21,23,Daniel Ricciardo,HRT,1:30.216,,
22,22,Narain Karthikeyan,HRT,1:30.238,,
23,25,Jérôme d'Ambrosio,Virgin,1:30.866,,
24,24,Timo Glock,Virgin,1:34.046,,
