Position,Driver,Constructor,Points,Wins
1,Niki Lauda,Ferrari,52,4
2,James Hunt,McLaren,26,2
3,Patrick Depailler,Tyrrell,26,0
4,Jody Scheckter,Tyrrell,24,1
5,Clay Regazzoni,Ferrari,16,1
6,Jacques Laffite,Ligier,10,0
7,Jochen Mass,McLaren,10,0
8,John Watson,Penske,6,0
9,Hans-Joachim Stuck,March,6,0
10,Tom Pryce,Shadow,4,0
11,Gunnar Nilsson,Team Lotus,4,0
12,Carlos Pace,Brabham-Alfa Romeo,4,0
13,Carlos Reutemann,Brabham-Alfa Romeo,3,0
14,Mario Andretti,Team Lotus,3,0
15,Chris Amon,Ensign,2,0
16,Alan Jones,Surtees,2,0
17,Emerson Fittipaldi,Fittipaldi,2,0
18,Jean-Pierre Jarier,Shadow,0,0
19,Jacky Ickx,Wolf,0,0
20,Ronnie Peterson,Team Lotus,0,0
21,Vittorio Brambilla,March,0,0
22,Larry Perkins,Boro,0,0
23,Arturo Merzario,March,0,0
24,Renzo Zorzi,Williams,0,0
25,Michel Leclère,Wolf,0,0
26,Bob Evans,Team Lotus,0,0
27,Brett Lunger,Surtees,0,0
28,Ingo Hoffmann,Fittipaldi,0,0
29,Loris Kessel,Brabham-Ford,0,0
30,Lella Lombardi,March,0,0
