position,number,driver,constructor,Q1,Q2,Q3
1,5,Michael Schumacher,Ferrari,1:33.310,1:32.025,1:31.431
2,6,Felipe Massa,Ferrari,1:33.579,1:32.014,1:31.478
3,12,Jenson Button,Honda,1:32.603,1:32.025,1:31.549
4,1,Fernando Alonso,Renault,1:32.433,1:31.215,1:31.702
5,4,Juan Pablo Montoya,McLaren,1:33.233,1:31.487,1:32.164
6,11,Rubens Barrichello,Honda,1:33.922,1:32.322,1:32.579
7,9,Mark Webber,Williams,1:33.454,1:32.309,1:33.006
8,15,Christian Klien,Red Bull,1:34.308,1:32.106,1:33.112
9,2,Giancarlo Fisichella,Renault,1:32.934,1:31.831,1:33.496
10,16,Nick Heidfeld,BMW Sauber,1:33.374,1:31.958,1:33.926
11,17,Jacques Villeneuve,BMW Sauber,1:33.882,1:32.456,
12,10,Nico Rosberg,Williams,1:32.945,1:32.620,
13,14,David Coulthard,Red Bull,1:33.678,1:32.850,
14,8,Jarno Trulli,Toyota,1:33.987,1:33.066,
15,20,Vitantonio Liuzzi,Toro Rosso,1:34.439,1:33.416,
16,21,Scott Speed,Toro Rosso,1:33.995,1:34.606,
17,7,Ralf Schumacher,Toyota,1:34.702,,
18,19,Christijan Albers,MF1,1:35.724,,
19,18,Tiago Monteiro,MF1,1:35.900,,
20,22,Takuma Sato,Super Aguri,1:37.411,,
21,23,Yuji Ide,Super Aguri,1:40.270,,
22,3,Kimi Räikkönen,McLaren,,,
