Position,Driver,Constructor,Points,Wins
1,Fernando Alonso,Renault,10,1
2,Michael Schumacher,Ferrari,8,0
3,Kimi Räikkönen,McLaren,6,0
4,Jenson Button,Honda,5,0
5,Juan Pablo Montoya,McLaren,4,0
6,Mark Webber,Williams,3,0
7,Nico Rosberg,Williams,2,0
8,Christian Klien,Red Bull,1,0
9,Felipe Massa,Ferrari,0,0
10,David Coulthard,Red Bull,0,0
11,Vitantonio Liuzzi,Toro Rosso,0,0
12,Nick Heidfeld,BMW Sauber,0,0
13,Scott Speed,Toro Rosso,0,0
14,Ralf Schumacher,Toyota,0,0
15,Rubens Barrichello,Honda,0,0
16,Jarno Trulli,Toyota,0,0
17,Tiago Monteiro,MF1,0,0
18,Takuma Sato,Super Aguri,0,0
