round,raceName,date,time,circuit,country
1,Monaco Grand Prix,1964-05-10,,Circuit de Monaco,Monaco
2,Dutch Grand Prix,1964-05-24,,Circuit Park Zandvoort,Netherlands
3,Belgian Grand Prix,1964-06-14,,Circuit de Spa-Francorchamps,Belgium
4,French Grand Prix,1964-06-28,,Rouen-Les-Essarts,France
5,British Grand Prix,1964-07-11,,Brands Hatch,UK
6,German Grand Prix,1964-08-02,,Nürburgring,Germany
7,Austrian Grand Prix,1964-08-23,,Zeltweg,Austria
8,Italian Grand Prix,1964-09-06,,Autodromo Nazionale di Monza,Italy
9,United States Grand Prix,1964-10-04,,Watkins Glen,USA
10,Mexican Grand Prix,1964-10-25,,Autódromo Hermanos Rodríguez,Mexico
