position,number,driver,constructor,Q1,Q2,Q3
1,9,Kimi Räikkönen,McLaren,1:19.886,1:22.994,
2,5,Fernando Alonso,Renault,1:19.889,1:23.552,
3,3,Jenson Button,BAR,1:20.464,1:23.641,
4,7,Mark Webber,Williams,1:20.442,1:24.069,
5,16,Jarno Trulli,Toyota,1:20.492,1:24.026,
6,4,Takuma Sato,BAR,1:20.851,1:23.807,
7,10,Alexander Wurz,McLaren,1:20.632,1:24.057,
8,12,Felipe Massa,Sauber,1:20.593,1:24.337,
9,8,Nick Heidfeld,Williams,1:20.807,1:24.389,
10,2,Rubens Barrichello,Ferrari,1:20.892,1:24.351,
11,17,Ralf Schumacher,Toyota,1:20.994,1:24.422,
12,11,Jacques Villeneuve,Sauber,1:20.999,1:25.260,
13,6,Giancarlo Fisichella,Renault,1:21.708,1:25.002,
14,1,Michael Schumacher,Ferrari,1:20.260,1:26.984,
15,14,David Coulthard,Red Bull,1:21.632,1:26.438,
16,15,Vitantonio Liuzzi,Red Bull,1:21.804,1:26.351,
17,19,Narain Karthikeyan,Jordan,1:23.123,1:28.976,
18,18,Tiago Monteiro,Jordan,1:25.100,1:29.152,
19,20,Patrick Friesacher,Minardi,1:26.484,1:30.564,
20,21,Christijan Albers,Minardi,1:25.921,,
