Position,Driver,Constructor,Points,Wins
1,Graham Hill,Lotus-Ford,24,2
2,Jackie Stewart,Matra-Ford,12,1
3,Pedro Rodríguez,BRM,10,0
4,Denny Hulme,McLaren-BRM,10,0
5,Bruce McLaren,McLaren-Ford,9,1
6,Jim Clark,Lotus-Ford,9,1
7,Jean-Pierre Beltoise,Matra-Ford,9,0
8,Jacky Ickx,Ferrari,7,0
9,Richard Attwood,BRM,6,0
10,Ludovico Scarfiotti,Cooper-BRM,6,0
11,Lucien Bianchi,Cooper-BRM,5,0
12,Jochen Rindt,Brabham-Repco,4,0
13,Brian Redman,Cooper-Maserati,4,0
14,Chris Amon,Ferrari,4,0
15,Jackie Oliver,Lotus-Ford,2,0
16,Silvio Moser,Brabham-Repco,2,0
17,Jo Siffert,Cooper-Maserati,0,0
18,John Surtees,Honda,0,0
19,Jo Bonnier,Cooper-Maserati,0,0
20,John Love,Brabham-Repco,0,0
21,Piers Courage,BRM,0,0
22,Jackie Pretorius,Brabham-Climax,0,0
23,Dan Gurney,Eagle-Weslake,0,0
24,Jack Brabham,Brabham-Repco,0,0
25,Johnny Servoz-Gavin,Matra-Ford,0,0
26,Sam Tingle,LDS,0,0
27,Basil van Rooyen,Cooper-Climax,0,0
28,Andrea de Adamich,Ferrari,0,0
29,Mike Spence,BRM,0,0
30,Dave Charlton,Brabham-Repco,0,0
