position,number,driver,constructor,Q1,Q2,Q3
1,16,Charles Leclerc,Ferrari,1:33.613,1:32.434,1:31.628
2,44,Lewis Hamilton,Mercedes,1:33.230,1:33.134,1:32.030
3,5,Sebastian Vettel,Ferrari,1:33.032,1:32.536,1:32.053
4,33,Max Verstappen,Red Bull,1:33.368,1:32.634,1:32.310
5,77,Valtteri Bottas,Mercedes,1:33.413,1:33.281,1:32.632
6,55,Carlos Sainz,McLaren,1:34.184,1:33.807,1:33.222
7,27,Nico Hülkenberg,Renault,1:34.236,1:33.898,1:33.289
8,4,Lando Norris,McLaren,1:34.201,1:33.725,1:33.301
9,8,Romain Grosjean,Haas F1 Team,1:34.283,1:33.643,1:33.517
10,3,Daniel Ricciardo,Renault,1:34.138,1:33.862,1:33.661
11,10,Pierre Gasly,Toro Rosso,1:34.456,1:33.950,
12,11,Sergio Pérez,Racing Point,1:34.336,1:33.958,
13,99,Antonio Giovinazzi,Alfa Romeo,1:34.755,1:34.037,
14,20,Kevin Magnussen,Haas F1 Team,1:33.889,1:34.082,
15,18,Lance Stroll,Racing Point,1:34.287,1:34.233,
16,7,Kimi Räikkönen,Alfa Romeo,1:34.840,,
17,63,George Russell,Williams,1:35.356,,
18,88,Robert Kubica,Williams,1:36.474,,
19,23,Alexander Albon,Red Bull,1:39.197,,
20,26,Daniil Kvyat,Toro Rosso,1:39.544,,
