Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,322,9
2,Valtteri Bottas,Mercedes,249,2
3,Charles Leclerc,Ferrari,215,2
4,Max Verstappen,Red Bull,212,2
5,Sebastian Vettel,Ferrari,194,1
6,Pierre Gasly,Red Bull,69,0
7,Carlos Sainz,McLaren,66,0
8,Alexander Albon,Toro Rosso,52,0
9,Lando Norris,McLaren,35,0
10,Daniel Ricciardo,Renault,34,0
11,Nico Hülkenberg,Renault,34,0
12,Daniil Kvyat,Toro Rosso,33,0
13,Sergio Pérez,Racing Point,33,0
14,Kimi Räikkönen,Alfa Romeo,31,0
15,Kevin Magnussen,Haas F1 Team,20,0
16,Lance Stroll,Racing Point,19,0
17,Romain Grosjean,Haas F1 Team,8,0
18,Antonio Giovinazzi,Alfa Romeo,4,0
19,Robert Kubica,Williams,1,0
20,George Russell,Williams,0,0
