position,number,driver,constructor,laps,grid,status,points
1,11,Richie Ginther,Honda,65,3,Finished,9
2,8,Dan Gurney,Brabham-Climax,65,2,Finished,6
3,6,Mike Spence,Lotus-Climax,65,6,Finished,4
4,16,Jo Siffert,Brabham-BRM,65,11,Finished,3
5,12,Ronnie Bucknum,Honda,64,10,+1 Lap,2
6,21,Richard Attwood,Lotus-BRM,64,17,+1 Lap,1
7,14,Pedro Rodríguez,Ferrari,62,14,+3 Laps,0
8,2,Lorenzo Bandini,Ferrari,62,7,+3 Laps,0
9,3,Graham Hill,BRM,56,5,Engine,0
10,18,Moisés Solana,Lotus-Climax,55,9,Ignition,0
11,15,Jo Bonnier,Brabham-Climax,43,12,Suspension,0
12,10,Jochen Rindt,Cooper-Climax,39,16,Ignition,0
13,7,Jack Brabham,Brabham-Climax,38,14,Oil leak,0
14,4,Jackie Stewart,BRM,35,8,Clutch,0
15,22,Bob Bondurant,Lotus-BRM,29,18,Suspension,0
16,9,Bruce McLaren,Cooper-Climax,25,15,Gearbox,0
17,5,Jim Clark,Lotus-Climax,8,1,Engine,0
18,22,Innes Ireland,Lotus-BRM,0,0,Withdrew,0
19,24,Ludovico Scarfiotti,Ferrari,0,0,Withdrew,0
