Position,Driver,Constructor,Points,Wins
1,Alberto Ascari,Ferrari,9,1
2,Bill Vukovich,Kurtis Kraft,9,1
3,Art Cross,Kurtis Kraft,6,0
4,Luigi Villoresi,Ferrari,6,0
5,José Froilán González,Maserati,4,0
6,Mike Hawthorn,Ferrari,3,0
7,Duane Carter,Lesovsky,2,0
8,Sam Hanks,Kurtis Kraft,2,0
9,Oscar Gálvez,Maserati,2,0
10,Jack McGrath,Kurtis Kraft,2,0
11,Paul Russo,Kurtis Kraft,1.5,0
12,Fred Agabashian,Kurtis Kraft,1.5,0
13,Jean Behra,Gordini,0,0
14,Jimmy Daywalt,Kurtis Kraft,0,0
15,Jim Rathmann,Kurtis Kraft,0,0
16,Eddie Johnson,Kurtis Kraft,0,0
17,Harry Schell,Gordini,0,0
18,Maurice Trintignant,Gordini,0,0
19,John Barber,Cooper,0,0
20,Ernie McCoy,Stevens,0,0
21,Chuck Stevenson,Kuzma,0,0
22,Gene Hartley,Kurtis Kraft,0,0
23,Tony Bettenhausen,Kuzma,0,0
24,Alan Brown,Cooper,0,0
25,Jimmy Davies,Kurtis Kraft,0,0
26,Duke Nalon,Kurtis Kraft,0,0
27,Bob Scott,Bromme,0,0
28,Carl Scarborough,Kurtis Kraft,0,0
29,Manny Ayulo,Kuzma,0,0
30,Jimmy Bryan,Schroeder,0,0
