position,number,driver,constructor,Q1,Q2,Q3
1,16,Charles Leclerc,Ferrari,1:04.138,1:03.378,1:03.003
2,44,Lewis Hamilton,Mercedes,1:03.818,1:03.803,1:03.262
3,33,Max Verstappen,Red Bull,1:03.807,1:03.835,1:03.439
4,77,Valtteri Bottas,Mercedes,1:04.084,1:03.863,1:03.537
5,20,Kevin Magnussen,Haas F1 Team,1:04.778,1:04.466,1:04.072
6,4,Lando Norris,McLaren,1:04.361,1:04.211,1:04.099
7,7,Kimi Räikkönen,Alfa Romeo,1:04.615,1:04.056,1:04.166
8,99,Antonio Giovinazzi,Alfa Romeo,1:04.450,1:04.194,1:04.179
9,10,Pierre Gasly,Red Bull,1:04.412,1:03.988,1:04.199
10,5,Sebastian Vettel,Ferrari,1:04.430,1:03.667,
11,8,Romain Grosjean,Haas F1 Team,1:04.552,1:04.490,
12,27,Nico Hülkenberg,Renault,1:04.733,1:04.516,
13,23,Alexander Albon,Toro Rosso,1:04.708,1:04.665,
14,3,Daniel Ricciardo,Renault,1:04.647,1:04.790,
15,55,Carlos Sainz,McLaren,1:04.453,1:13.601,
16,11,Sergio Pérez,Racing Point,1:04.789,,
17,18,Lance Stroll,Racing Point,1:04.832,,
18,26,Daniil Kvyat,Toro Rosso,1:05.324,,
19,63,George Russell,Williams,1:05.904,,
20,88,Robert Kubica,Williams,1:06.206,,
