Position,Driver,Constructor,Points,Wins
1,Michael Schumacher,Benetton,92,8
2,Damon Hill,Williams,59,3
3,David Coulthard,Williams,49,1
4,Jean Alesi,Ferrari,42,1
5,Johnny Herbert,Benetton,41,2
6,Gerhard Berger,Ferrari,31,0
7,Heinz-Harald Frentzen,Sauber,15,0
8,Mika Häkkinen,McLaren,11,0
9,Rubens Barrichello,Jordan,11,0
10,Mark Blundell,McLaren,10,0
11,Olivier Panis,Ligier,8,0
12,Martin Brundle,Ligier,7,0
13,Eddie Irvine,Jordan,7,0
14,Jean-Christophe Boullion,Sauber,3,0
15,Mika Salo,Tyrrell,2,0
16,Aguri Suzuki,Ligier,1,0
17,Gianni Morbidelli,Footwork,1,0
18,Pierluigi Martini,Minardi,0,0
19,Ukyo Katayama,Tyrrell,0,0
20,Massimiliano Papis,Footwork,0,0
21,Luca Badoer,Minardi,0,0
22,Taki Inoue,Footwork,0,0
23,Andrea Montermini,Pacific,0,0
24,Pedro Lamy,Minardi,0,0
25,Pedro Diniz,Forti,0,0
26,Domenico Schiattarella,Simtek,0,0
27,Jan Magnussen,McLaren,0,0
28,Nigel Mansell,McLaren,0,0
29,Bertrand Gachot,Pacific,0,0
30,Jos Verstappen,Simtek,0,0
