position,number,driver,constructor,Q1,Q2,Q3
1,2,Felipe Massa,Ferrari,1:25.994,1:26.192,1:27.617
2,23,Heikki Kovalainen,McLaren,1:26.736,1:26.290,1:27.808
3,22,Lewis Hamilton,McLaren,1:26.192,1:26.477,1:27.923
4,1,Kimi Räikkönen,Ferrari,1:26.457,1:26.050,1:27.936
5,4,Robert Kubica,BMW Sauber,1:26.761,1:26.129,1:28.390
6,10,Mark Webber,Red Bull,1:26.773,1:26.466,1:28.417
7,5,Fernando Alonso,Renault,1:26.836,1:26.522,1:28.422
8,11,Jarno Trulli,Toyota,1:26.695,1:26.822,1:28.836
9,3,Nick Heidfeld,BMW Sauber,1:27.107,1:27.607,1:28.882
10,9,David Coulthard,Red Bull,1:26.939,1:26.520,1:29.959
11,7,Nico Rosberg,Williams,1:27.367,1:27.012,
12,17,Rubens Barrichello,Honda,1:27.355,1:27.219,
13,16,Jenson Button,Honda,1:27.428,1:27.298,
14,15,Sebastian Vettel,Toro Rosso,1:27.442,1:27.412,
15,12,Timo Glock,Toyota,1:26.614,1:27.806,
16,8,Kazuki Nakajima,Williams,1:27.547,,
17,6,Nelson Piquet Jr.,Renault,1:27.568,,
18,14,Sébastien Bourdais,Toro Rosso,1:27.621,,
19,21,Giancarlo Fisichella,Force India,1:27.807,,
20,20,Adrian Sutil,Force India,1:28.325,,
