Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,McLaren,127,2
2,Jenson Button,McLaren,121,2
3,Sebastian Vettel,Red Bull,115,2
4,Mark Webber,Red Bull,103,2
5,Fernando Alonso,Ferrari,98,1
6,Robert Kubica,Renault,83,0
7,Nico Rosberg,Mercedes,75,0
8,Felipe Massa,Ferrari,67,0
9,Michael Schumacher,Mercedes,34,0
10,Adrian Sutil,Force India,31,0
11,Rubens Barrichello,Williams,19,0
12,Vitantonio Liuzzi,Force India,12,0
13,Kamui Kobayashi,Sauber,7,0
14,Sébastien Buemi,Toro Rosso,7,0
15,Vitaly Petrov,Renault,6,0
16,Jaime Alguersuari,Toro Rosso,3,0
17,Nico Hülkenberg,Williams,1,0
18,Pedro de la Rosa,Sauber,0,0
19,Heikki Kovalainen,Lotus,0,0
20,Karun Chandhok,HRT,0,0
21,Lucas di Grassi,Virgin,0,0
22,Jarno Trulli,Lotus,0,0
23,Bruno Senna,HRT,0,0
24,Timo Glock,Virgin,0,0
