position,number,driver,constructor,Q1,Q2,Q3
1,5,Sebastian Vettel,Red Bull,1:36.317,1:35.280,1:34.558
2,6,Mark Webber,Red Bull,1:35.978,1:35.100,1:34.808
3,8,Fernando Alonso,Ferrari,1:35.987,1:35.235,1:34.913
4,4,Nico Rosberg,Mercedes,1:35.952,1:35.134,1:34.923
5,1,Jenson Button,McLaren,1:36.122,1:35.443,1:34.979
6,2,Lewis Hamilton,McLaren,1:35.641,1:34.928,1:35.034
7,7,Felipe Massa,Ferrari,1:36.076,1:35.290,1:35.180
8,11,Robert Kubica,Renault,1:36.348,1:35.550,1:35.364
9,3,Michael Schumacher,Mercedes,1:36.484,1:35.715,1:35.646
10,14,Adrian Sutil,Force India,1:36.671,1:35.665,1:35.963
11,9,Rubens Barrichello,Williams,1:36.664,1:35.748,
12,17,Jaime Alguersuari,Toro Rosso,1:36.618,1:36.047,
13,16,Sébastien Buemi,Toro Rosso,1:36.793,1:36.149,
14,12,Vitaly Petrov,Renault,1:37.031,1:36.311,
15,23,Kamui Kobayashi,Sauber,1:37.044,1:36.422,
16,10,Nico Hülkenberg,Williams,1:37.049,1:36.647,
17,22,Pedro de la Rosa,Sauber,1:37.050,1:37.020,
18,15,Vitantonio Liuzzi,Force India,1:37.161,,
19,24,Timo Glock,Virgin,1:39.278,,
20,18,Jarno Trulli,Lotus,1:39.399,,
21,19,Heikki Kovalainen,Lotus,1:39.520,,
22,25,Lucas di Grassi,Virgin,1:39.783,,
23,21,Bruno Senna,HRT,1:40.469,,
24,20,Karun Chandhok,HRT,1:40.578,,
