position,number,driver,constructor,Q1,Q2,Q3
1,6,Nico Rosberg,Mercedes,1:56.671,1:56.824,
2,44,Lewis Hamilton,Mercedes,1:56.871,1:56.929,
3,3,Daniel Ricciardo,Red Bull,1:56.495,1:57.969,
4,26,Daniil Kvyat,Red Bull,1:57.640,1:58.434,
5,5,Sebastian Vettel,Ferrari,2:00.950,1:58.596,
6,11,Sergio Pérez,Force India,1:59.264,1:59.210,
7,27,Nico Hülkenberg,Force India,1:58.325,1:59.333,
8,7,Kimi Räikkönen,Ferrari,1:58.198,1:59.703,
9,19,Felipe Massa,Williams,2:00.902,1:59.999,
10,33,Max Verstappen,Toro Rosso,1:58.689,2:00.199,
11,14,Fernando Alonso,McLaren,1:59.704,2:00.265,
12,77,Valtteri Bottas,Williams,1:59.569,2:00.334,
13,8,Romain Grosjean,Lotus F1,2:00.236,2:00.595,
14,22,Jenson Button,McLaren,2:00.261,2:01.193,
15,13,Pastor Maldonado,Lotus F1,2:00.844,2:01.604,
16,9,Marcus Ericsson,Sauber,2:02.212,,
17,12,Felipe Nasr,Sauber,2:03.194,,
18,53,Alexander Rossi,Marussia,2:04.176,,
19,28,Will Stevens,Marussia,2:04.526,,
20,55,Carlos Sainz,Toro Rosso,2:07.304,,
