position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:31.271,1:30.645,1:30.029
2,77,Valtteri Bottas,Mercedes,1:31.776,1:31.227,1:30.147
3,5,Sebastian Vettel,Ferrari,1:31.820,1:30.751,1:30.400
4,33,Max Verstappen,Red Bull,1:31.531,1:30.818,1:30.705
5,3,Daniel Ricciardo,Red Bull,1:31.910,1:31.538,1:30.895
6,7,Kimi Räikkönen,Ferrari,1:31.567,1:30.772,1:31.057
7,55,Carlos Sainz,Renault,1:32.394,1:32.016,1:32.126
8,16,Charles Leclerc,Sauber,1:32.538,1:32.055,1:32.635
9,20,Kevin Magnussen,Haas F1 Team,1:32.169,1:31.510,1:32.930
10,8,Romain Grosjean,Haas F1 Team,1:32.083,1:31.472,
11,31,Esteban Ocon,Force India,1:32.786,1:32.075,
12,27,Nico Hülkenberg,Renault,1:32.949,1:32.115,
13,11,Sergio Pérez,Force India,1:32.692,1:32.454,
14,10,Pierre Gasly,Toro Rosso,1:32.447,1:32.460,
15,9,Marcus Ericsson,Sauber,1:32.804,1:32.820,
16,14,Fernando Alonso,McLaren,1:32.976,,
17,28,Brendon Hartley,Toro Rosso,1:33.025,,
18,2,Stoffel Vandoorne,McLaren,1:33.162,,
19,35,Sergey Sirotkin,Williams,1:33.636,,
20,18,Lance Stroll,Williams,1:33.729,,
