Position,Driver,Constructor,Points,Wins
1,Juan Fangio,Alfa Romeo,9,1
2,Lee Wallard,Kurtis Kraft,9,1
3,Mike Nazaruk,Kurtis Kraft,6,0
4,Piero Taruffi,Ferrari,6,0
5,Nino Farina,Alfa Romeo,4,0
6,Andy Linden,Sherman,3,0
7,Consalvo Sanesi,Alfa Romeo,3,0
8,Jack McGrath,Kurtis Kraft,2,0
9,Bobby Ball,Schroeder,2,0
10,Toulo de Graffenried,Alfa Romeo,2,0
11,Manny Ayulo,Kurtis Kraft,2,0
12,Alberto Ascari,Ferrari,0,0
13,Henry Banks,Moore,0,0
14,Louis Chiron,Maserati,0,0
15,Carl Forberg,Kurtis Kraft,0,0
16,Duane Carter,Deidt,0,0
17,Stirling Moss,HWM,0,0
18,Louis Rosier,Talbot-Lago,0,0
19,Philippe Étancelin,Talbot-Lago,0,0
20,Rudi Fischer,Ferrari,0,0
21,Harry Schell,Maserati,0,0
22,Johnny Claes,Talbot-Lago,0,0
23,Guy Mairesse,Talbot-Lago,0,0
24,Tony Bettenhausen,Deidt,0,0
25,Duke Nalon,Kurtis Kraft,0,0
26,Gene Force,Kurtis Kraft,0,0
27,Sam Hanks,Kurtis Kraft,0,0
28,Bill Schindler,Kurtis Kraft,0,0
29,Mauri Rose,Deidt,0,0
30,Walt Faulkner,Kuzma,0,0
