position,number,driver,constructor,Q1,Q2,Q3
1,1,Sebastian Vettel,Red Bull,1:24.319,1:23.977,1:23.755
2,2,Mark Webber,Red Bull,1:24.923,1:24.263,1:23.968
3,11,Nico Hülkenberg,Sauber,1:24.776,1:24.305,1:24.065
4,4,Felipe Massa,Ferrari,1:24.950,1:24.479,1:24.132
5,3,Fernando Alonso,Ferrari,1:24.661,1:24.227,1:24.142
6,9,Nico Rosberg,Mercedes,1:24.527,1:24.393,1:24.192
7,19,Daniel Ricciardo,Toro Rosso,1:24.655,1:24.290,1:24.209
8,6,Sergio Pérez,McLaren,1:24.635,1:24.592,1:24.502
9,5,Jenson Button,McLaren,1:24.739,1:24.563,1:24.515
10,18,Jean-Éric Vergne,Toro Rosso,1:24.630,1:24.575,1:28.050
11,7,Kimi Räikkönen,Lotus F1,1:24.819,1:24.610,
12,10,Lewis Hamilton,Mercedes,1:24.589,1:24.803,
13,8,Romain Grosjean,Lotus F1,1:24.737,1:24.848,
14,15,Adrian Sutil,Force India,1:25.030,1:24.932,
15,16,Pastor Maldonado,Williams,1:24.905,1:25.011,
16,14,Paul di Resta,Force India,1:25.009,1:25.077,
17,12,Esteban Gutiérrez,Sauber,1:25.226,,
18,17,Valtteri Bottas,Williams,1:25.291,,
19,21,Giedo van der Garde,Caterham,1:26.406,,
20,20,Charles Pic,Caterham,1:26.563,,
21,22,Jules Bianchi,Marussia,1:27.085,,
22,23,Max Chilton,Marussia,1:27.480,,
