position,number,driver,constructor,laps,grid,status,points
1,44,Lewis Hamilton,Mercedes,44,1,Finished,25
2,5,Sebastian Vettel,Ferrari,44,2,Finished,18
3,3,Daniel Ricciardo,Red Bull,44,6,Finished,15
4,7,Kimi Räikkönen,Ferrari,44,4,Finished,12
5,77,Valtteri Bottas,Mercedes,44,3,Finished,10
6,27,Nico Hülkenberg,Renault,44,7,Finished,8
7,8,Romain Grosjean,Haas F1 Team,44,11,Finished,6
8,19,Felipe Massa,Williams,44,16,Finished,4
9,31,Esteban Ocon,Force India,44,9,Finished,2
10,55,Carlos Sainz,Toro Rosso,44,13,Finished,1
11,18,Lance Stroll,Williams,44,15,Finished,0
12,26,Daniil Kvyat,Toro Rosso,44,19,Finished,0
13,30,Jolyon Palmer,Renault,44,14,Finished,0
14,2,Stoffel Vandoorne,McLaren,44,20,Finished,0
15,20,Kevin Magnussen,Haas F1 Team,44,12,Finished,0
16,9,Marcus Ericsson,Sauber,44,17,Finished,0
17,11,Sergio Pérez,Force India,42,8,Gearbox,0
18,14,Fernando Alonso,McLaren,25,10,Engine,0
19,33,Max Verstappen,Red Bull,7,5,Engine,0
20,94,Pascal Wehrlein,Sauber,2,18,Collision,0
