position,number,driver,constructor,laps,grid,status,points
1,1,Michael Schumacher,Ferrari,65,1,Finished,10
2,8,Fernando Alonso,Renault,65,3,Finished,8
3,2,Rubens Barrichello,Ferrari,65,2,Finished,6
4,3,Juan Pablo Montoya,Williams,65,9,Finished,5
5,4,Ralf Schumacher,Williams,64,7,+1 Lap,4
6,21,Cristiano da Matta,Toyota,64,13,+1 Lap,3
7,14,Mark Webber,Jaguar,64,12,+1 Lap,2
8,12,Ralph Firman,Jordan,63,15,+2 Laps,1
9,17,Jenson Button,BAR,63,5,+2 Laps,0
10,9,Nick Heidfeld,Sauber,63,14,+2 Laps,0
11,18,Justin Wilson,Minardi,63,18,+2 Laps,0
12,19,Jos Verstappen,Minardi,62,19,+3 Laps,0
13,11,Giancarlo Fisichella,Jordan,43,17,Engine,0
14,20,Olivier Panis,Toyota,41,6,Gearbox,0
15,10,Heinz-Harald Frentzen,Sauber,38,10,Suspension,0
16,5,David Coulthard,McLaren,17,8,Collision,0
17,16,Jacques Villeneuve,BAR,12,11,Electrical,0
18,7,Jarno Trulli,Renault,0,4,Collision,0
19,15,Antônio Pizzonia,Jaguar,0,16,Launch control,0
20,6,Kimi Räikkönen,McLaren,0,20,Collision,0
