Position,Driver,Constructor,Points,Wins
1,Denny Hulme,Brabham-Repco,16,1
2,Pedro Rodríguez,Cooper-Maserati,11,1
3,Jim Clark,Lotus-BRM,9,1
4,Jack Brabham,Brabham-Repco,7,0
5,Chris Amon,Ferrari,7,0
6,Graham Hill,Lotus-BRM,6,0
7,John Love,Cooper-Climax,6,0
8,John Surtees,Honda,4,0
9,Bruce McLaren,McLaren-BRM,3,0
10,Bob Anderson,Brabham-Climax,2,0
11,Mike Parkes,Ferrari,2,0
12,Mike Spence,BRM,1,0
13,Ludovico Scarfiotti,Ferrari,1,0
14,Chris Irwin,Lotus-BRM,0,0
15,Jo Siffert,Cooper-Maserati,0,0
16,Lorenzo Bandini,Ferrari,0,0
17,Dave Charlton,Brabham-Climax,0,0
18,Piers Courage,Lotus-BRM,0,0
19,Luki Botha,Brabham-Climax,0,0
20,Sam Tingle,LDS-Climax,0,0
21,Dan Gurney,Eagle-Climax,0,0
22,Jackie Stewart,BRM,0,0
23,Jochen Rindt,Cooper-Maserati,0,0
24,Jo Bonnier,Cooper-Maserati,0,0
25,Johnny Servoz-Gavin,Matra,0,0
26,Jean-Pierre Beltoise,Matra,0,0
27,Richie Ginther,Eagle-Climax,0,0
