round,raceName,date,time,circuit,country
1,Argentine Grand Prix,1978-01-15,,Autódromo Juan y Oscar Gálvez,Argentina
2,Brazilian Grand Prix,1978-01-29,,Autódromo Internacional Nelson Piquet,Brazil
3,South African Grand Prix,1978-03-04,,Kyalami,South Africa
4,United States Grand Prix West,1978-04-02,,Long Beach,USA
5,Monaco Grand Prix,1978-05-07,,Circuit de Monaco,Monaco
6,Belgian Grand Prix,1978-05-21,,Zolder,Belgium
7,Spanish Grand Prix,1978-06-04,,Jarama,Spain
8,Swedish Grand Prix,1978-06-17,,Scandinavian Raceway,Sweden
9,French Grand Prix,1978-07-02,,Circuit Paul Ricard,France
10,British Grand Prix,1978-07-16,,Brands Hatch,UK
11,German Grand Prix,1978-07-30,,Hockenheimring,Germany
12,Austrian Grand Prix,1978-08-13,,Red Bull Ring,Austria
13,Dutch Grand Prix,1978-08-27,,Circuit Park Zandvoort,Netherlands
14,Italian Grand Prix,1978-09-10,,Autodromo Nazionale di Monza,Italy
15,United States Grand Prix,1978-10-01,,Watkins Glen,USA
16,Canadian Grand Prix,1978-10-08,,Circuit Gilles Villeneuve,Canada
