round,raceName,date,time,circuit,country
1,South African Grand Prix,1967-01-02,,Kyalami,South Africa
2,Monaco Grand Prix,1967-05-07,,Circuit de Monaco,Monaco
3,Dutch Grand Prix,1967-06-04,,Circuit Park Zandvoort,Netherlands
4,Belgian Grand Prix,1967-06-18,,Circuit de Spa-Francorchamps,Belgium
5,French Grand Prix,1967-07-02,,Le Mans,France
6,British Grand Prix,1967-07-15,,Silverstone Circuit,UK
7,German Grand Prix,1967-08-06,,Nürburgring,Germany
8,Canadian Grand Prix,1967-08-27,,Mosport International Raceway,Canada
9,Italian Grand Prix,1967-09-10,,Autodromo Nazionale di Monza,Italy
10,United States Grand Prix,1967-10-01,,Watkins Glen,USA
11,Mexican Grand Prix,1967-10-22,,Autódromo Hermanos Rodríguez,Mexico
