Position,Driver,Constructor,Points,Wins
1,Maurice Trintignant,Ferrari,11.33,1
2,Juan Fangio,Mercedes,10,1
3,Bob Sweikert,Kurtis Kraft,8,1
4,Nino Farina,Ferrari,6.33,0
5,Eugenio Castellotti,Lancia,6,0
6,Jimmy Davies,Kurtis Kraft,4,0
7,Tony Bettenhausen,Kurtis Kraft,3,0
8,Paul Russo,Kurtis Kraft,3,0
9,Johnny Thomson,Kuzma,3,0
10,José Froilán González,Ferrari,2,0
11,Jean Behra,Maserati,2,0
12,Cesare Perdisa,Maserati,2,0
13,Luigi Villoresi,Lancia,2,0
14,Roberto Mieres,Maserati,2,0
15,Umberto Maglioli,Ferrari,1.33,0
16,Stirling Moss,Mercedes,1,0
17,Karl Kling,Mercedes,1,0
18,Hans Herrmann,Mercedes,1,0
19,Walt Faulkner,Kurtis Kraft,1,0
20,Bill Homeier,Kurtis Kraft,1,0
21,Bill Vukovich,Kurtis Kraft,1,0
22,Harry Schell,Maserati,0,0
23,Louis Chiron,Lancia,0,0
24,Andy Linden,Kurtis Kraft,0,0
25,Luigi Musso,Maserati,0,0
26,Sergio Mantovani,Maserati,0,0
27,Al Herman,Kurtis Kraft,0,0
28,Jacques Pollet,Gordini,0,0
29,Paul Frère,Ferrari,0,0
30,Pat O'Connor,Kurtis Kraft,0,0
