Position,Driver,Constructor,Points,Wins
1,Michael Schumacher,Ferrari,26,2
2,David Coulthard,McLaren,26,1
3,Rubens Barrichello,Ferrari,14,0
4,Ralf Schumacher,Williams,12,1
5,Nick Heidfeld,Sauber,7,0
6,Heinz-Harald Frentzen,Jordan,6,0
7,Mika Häkkinen,McLaren,4,0
8,Jarno Trulli,Jordan,4,0
9,Olivier Panis,BAR,3,0
10,Giancarlo Fisichella,Benetton,1,0
11,Kimi Räikkönen,Sauber,1,0
12,Jos Verstappen,Arrows,0,0
13,Jacques Villeneuve,BAR,0,0
14,Jean Alesi,Prost,0,0
15,Luciano Burti,Jaguar,0,0
16,Tarso Marques,Minardi,0,0
17,Jenson Button,Benetton,0,0
18,Enrique Bernoldi,Arrows,0,0
19,Eddie Irvine,Jaguar,0,0
20,Fernando Alonso,Minardi,0,0
21,Gastón Mazzacane,Prost,0,0
