round,raceName,date,time,circuit,country
1,Australian Grand Prix,1996-03-10,,Albert Park Grand Prix Circuit,Australia
2,Brazilian Grand Prix,1996-03-31,,Autódromo José Carlos Pace,Brazil
3,Argentine Grand Prix,1996-04-07,,Autódromo Juan y Oscar Gálvez,Argentina
4,European Grand Prix,1996-04-28,,Nürburgring,Germany
5,San Marino Grand Prix,1996-05-05,,Autodromo Enzo e Dino Ferrari,Italy
6,Monaco Grand Prix,1996-05-19,,Circuit de Monaco,Monaco
7,Spanish Grand Prix,1996-06-02,,Circuit de Barcelona-Catalunya,Spain
8,Canadian Grand Prix,1996-06-16,,Circuit Gilles Villeneuve,Canada
9,French Grand Prix,1996-06-30,,Circuit de Nevers Magny-Cours,France
10,British Grand Prix,1996-07-14,,Silverstone Circuit,UK
11,German Grand Prix,1996-07-28,,Hockenheimring,Germany
12,Hungarian Grand Prix,1996-08-11,,Hungaroring,Hungary
13,Belgian Grand Prix,1996-08-25,,Circuit de Spa-Francorchamps,Belgium
14,Italian Grand Prix,1996-09-08,,Autodromo Nazionale di Monza,Italy
15,Portuguese Grand Prix,1996-09-22,,Autódromo do Estoril,Portugal
16,Japanese Grand Prix,1996-10-13,,Suzuka Circuit,Japan
