Position,Driver,Constructor,Points,Wins
1,Nico Rosberg,Mercedes,61,1
2,Lewis Hamilton,Mercedes,50,2
3,Nico Hülkenberg,Force India,28,0
4,Fernando Alonso,Ferrari,26,0
5,Jenson Button,McLaren,23,0
6,Sebastian Vettel,Red Bull,23,0
7,Kevin Magnussen,McLaren,20,0
8,Valtteri Bottas,Williams,18,0
9,Sergio Pérez,Force India,16,0
10,Daniel Ricciardo,Red Bull,12,0
11,Felipe Massa,Williams,12,0
12,Kimi Räikkönen,Ferrari,7,0
13,Jean-Éric Vergne,Toro Rosso,4,0
14,Daniil Kvyat,Toro Rosso,3,0
15,Romain Grosjean,Lotus F1,0,0
16,Adrian Sutil,Sauber,0,0
17,Esteban Gutiérrez,Sauber,0,0
18,Max Chilton,Marussia,0,0
19,Kamui Kobayashi,Caterham,0,0
20,Pastor Maldonado,Lotus F1,0,0
21,Marcus Ericsson,Caterham,0,0
22,Jules Bianchi,Marussia,0,0
