Position,Driver,Constructor,Points,Wins
1,Emerson Fittipaldi,Team Lotus,18,2
2,Jackie Stewart,Tyrrell,10,0
3,François Cevert,Tyrrell,6,0
4,Denny Hulme,McLaren,6,0
5,Jacky Ickx,Ferrari,5,0
6,Arturo Merzario,Ferrari,3,0
7,Clay Regazzoni,BRM,1,0
8,Wilson Fittipaldi,Brabham,1,0
9,Howden Ganley,Iso Marlboro,0,0
10,Niki Lauda,BRM,0,0
11,Peter Revson,McLaren,0,0
12,Nanni Galli,Iso Marlboro,0,0
13,Mike Beuttler,March,0,0
14,Carlos Reutemann,Brabham,0,0
15,Luiz Bueno,Surtees,0,0
16,Jean-Pierre Jarier,March,0,0
17,Jean-Pierre Beltoise,BRM,0,0
18,Ronnie Peterson,Team Lotus,0,0
19,Carlos Pace,Surtees,0,0
20,Mike Hailwood,Surtees,0,0
