position,number,driver,constructor,Q1,Q2,Q3
1,33,Max Verstappen,Red Bull,1:34.352,1:33.464,1:32.910
2,44,Lewis Hamilton,Mercedes,1:34.579,1:33.797,1:33.119
3,11,Sergio Pérez,Red Bull,1:34.369,1:34.178,1:33.134
4,77,Valtteri Bottas,Mercedes,1:34.590,1:33.959,1:33.475
5,16,Charles Leclerc,Ferrari,1:34.153,1:33.928,1:33.606
6,55,Carlos Sainz,Ferrari,1:34.558,1:34.126,1:33.792
7,3,Daniel Ricciardo,McLaren,1:34.407,1:34.643,1:33.808
8,4,Lando Norris,McLaren,1:34.551,1:33.880,1:33.887
9,10,Pierre Gasly,AlphaTauri,1:34.567,1:34.583,1:34.118
10,22,Yuki Tsunoda,AlphaTauri,1:35.360,1:35.137,1:34.918
11,31,Esteban Ocon,Alpine F1 Team,1:35.747,1:35.377,
12,5,Sebastian Vettel,Aston Martin,1:35.281,1:35.500,
13,99,Antonio Giovinazzi,Alfa Romeo,1:35.920,1:35.794,
14,14,Fernando Alonso,Alpine F1 Team,1:35.756,1:44.549,
15,63,George Russell,Williams,1:35.746,,
16,18,Lance Stroll,Aston Martin,1:35.983,,
17,6,Nicholas Latifi,Williams,1:35.995,,
18,7,Kimi Räikkönen,Alfa Romeo,1:36.311,,
19,47,Mick Schumacher,Haas F1 Team,1:36.499,,
20,9,Nikita Mazepin,Haas F1 Team,1:36.796,,
