position,number,driver,constructor,laps,grid,status,points
1,9,Nico Rosberg,Mercedes,52,2,Finished,25
2,2,Mark Webber,Red Bull,52,4,Finished,18
3,3,Fernando Alonso,Ferrari,52,9,Finished,15
4,10,Lewis Hamilton,Mercedes,52,1,Finished,12
5,7,Kimi Räikkönen,Lotus F1,52,8,Finished,10
6,4,Felipe Massa,Ferrari,52,11,Finished,8
7,15,Adrian Sutil,Force India,52,6,Finished,6
8,19,Daniel Ricciardo,Toro Rosso,52,5,Finished,4
9,14,Paul di Resta,Force India,52,21,Finished,2
10,11,Nico Hülkenberg,Sauber,52,14,Finished,1
11,16,Pastor Maldonado,Williams,52,15,Finished,0
12,17,Valtteri Bottas,Williams,52,16,Finished,0
13,5,Jenson Button,McLaren,52,10,Finished,0
14,12,Esteban Gutiérrez,Sauber,52,17,Finished,0
15,20,Charles Pic,Caterham,52,18,Finished,0
16,22,Jules Bianchi,Marussia,52,19,Finished,0
17,23,Max Chilton,Marussia,52,20,Finished,0
18,21,Giedo van der Garde,Caterham,52,22,Finished,0
19,8,Romain Grosjean,Lotus F1,51,7,Retired,0
20,6,Sergio Pérez,McLaren,46,13,Wheel,0
21,1,Sebastian Vettel,Red Bull,41,3,Gearbox,0
22,18,Jean-Éric Vergne,Toro Rosso,35,12,Tyre,0
