position,number,driver,constructor,Q1,Q2,Q3
1,15,Sebastian Vettel,Red Bull,1:18.685,1:18.119,1:19.509
2,23,Rubens Barrichello,Brawn,1:19.325,1:18.335,1:19.856
3,14,Mark Webber,Red Bull,1:18.674,1:18.209,1:19.868
4,9,Jarno Trulli,Toyota,1:18.886,1:18.240,1:20.091
5,17,Kazuki Nakajima,Williams,1:18.530,1:18.575,1:20.216
6,22,Jenson Button,Brawn,1:18.957,1:18.663,1:20.289
7,16,Nico Rosberg,Williams,1:19.228,1:18.591,1:20.361
8,10,Timo Glock,Toyota,1:19.198,1:18.791,1:20.490
9,4,Kimi Räikkönen,Ferrari,1:19.010,1:18.566,1:20.715
10,7,Fernando Alonso,Renault,1:19.167,1:18.761,1:20.741
11,3,Felipe Massa,Ferrari,1:19.148,1:18.927,
12,5,Robert Kubica,BMW Sauber,1:19.730,1:19.308,
13,2,Heikki Kovalainen,McLaren,1:19.732,1:19.353,
14,8,Nelson Piquet Jr.,Renault,1:19.555,1:19.392,
15,6,Nick Heidfeld,BMW Sauber,1:19.559,1:19.448,
16,21,Giancarlo Fisichella,Force India,1:19.802,,
17,11,Sébastien Bourdais,Toro Rosso,1:19.898,,
18,20,Adrian Sutil,Force India,1:19.909,,
19,1,Lewis Hamilton,McLaren,1:19.917,,
20,12,Sébastien Buemi,Toro Rosso,1:20.236,,
