position,number,driver,constructor,Q1,Q2,Q3
1,3,Jacques Villeneuve,Williams,1:21.598,,
2,4,Heinz-Harald Frentzen,Williams,1:21.732,,
3,9,Mika Häkkinen,McLaren,1:21.797,,
4,5,Michael Schumacher,Ferrari,1:21.977,,
5,11,Ralf Schumacher,Jordan,1:22.277,,
6,10,David Coulthard,McLaren,1:22.279,,
7,6,Eddie Irvine,Ferrari,1:22.342,,
8,8,Alexander Wurz,Benetton,1:22.344,,
9,16,Johnny Herbert,Sauber,1:22.368,,
10,12,Giancarlo Fisichella,Jordan,1:22.371,,
11,17,Jean Alesi,Benetton,1:22.392,,
12,1,Damon Hill,Arrows,1:23.271,,
13,14,Jarno Trulli,Prost,1:23.366,,
14,15,Shinji Nakano,Prost,1:23.887,,
15,23,Jan Magnussen,Stewart,1:24.067,,
16,2,Pedro Diniz,Arrows,1:24.239,,
17,19,Mika Salo,Tyrrell,1:24.478,,
18,20,Ukyo Katayama,Minardi,1:24.553,,
19,18,Jos Verstappen,Tyrrell,1:25.010,,
20,21,Tarso Marques,Minardi,1:25.154,,
21,22,Rubens Barrichello,Stewart,1:25.525,,
22,17,Norberto Fontana,Sauber,,,
