position,number,driver,constructor,Q1,Q2,Q3
1,5,Sebastian Vettel,Red Bull,1:37.123,1:36.074,1:35.585
2,6,Mark Webber,Red Bull,1:37.373,1:36.039,1:35.659
3,8,Fernando Alonso,Ferrari,1:37.144,1:36.287,1:35.766
4,2,Lewis Hamilton,McLaren,1:37.113,1:36.197,1:36.062
5,4,Nico Rosberg,Mercedes,1:37.708,1:36.791,1:36.535
6,7,Felipe Massa,Ferrari,1:37.515,1:36.169,1:36.571
7,1,Jenson Button,McLaren,1:38.123,1:37.064,1:36.731
8,11,Robert Kubica,Renault,1:37.703,1:37.179,1:36.824
9,3,Michael Schumacher,Mercedes,1:37.980,1:37.077,1:36.950
10,9,Rubens Barrichello,Williams,1:38.257,1:37.511,1:36.998
11,10,Nico Hülkenberg,Williams,1:38.115,1:37.620,
12,23,Kamui Kobayashi,Sauber,1:38.429,1:37.643,
13,22,Nick Heidfeld,Sauber,1:38.171,1:37.715,
14,14,Adrian Sutil,Force India,1:38.572,1:37.783,
15,12,Vitaly Petrov,Renault,1:38.174,1:37.799,
16,17,Jaime Alguersuari,Toro Rosso,1:38.583,1:37.853,
17,16,Sébastien Buemi,Toro Rosso,1:38.621,1:38.594,
18,15,Vitantonio Liuzzi,Force India,1:38.955,,
19,18,Jarno Trulli,Lotus,1:40.521,,
20,24,Timo Glock,Virgin,1:40.748,,
21,19,Heikki Kovalainen,Lotus,1:41.768,,
22,25,Lucas di Grassi,Virgin,1:42.325,,
23,20,Sakon Yamamoto,HRT,1:42.444,,
24,21,Bruno Senna,HRT,1:43.283,,
