position,number,driver,constructor,laps,grid,status,points
1,1,Michael Schumacher,Benetton,53,1,Finished,10
2,8,Mika Häkkinen,McLaren,53,3,Finished,6
3,2,Johnny Herbert,Benetton,53,9,Finished,4
4,15,Eddie Irvine,Jordan,53,7,Finished,3
5,26,Olivier Panis,Ligier,52,11,+1 Lap,2
6,4,Mika Salo,Tyrrell,52,12,+1 Lap,1
7,7,Mark Blundell,McLaren,52,23,+1 Lap,0
8,30,Heinz-Harald Frentzen,Sauber,52,8,+1 Lap,0
9,24,Luca Badoer,Minardi,51,17,+2 Laps,0
10,29,Karl Wendlinger,Sauber,51,15,+2 Laps,0
11,23,Pedro Lamy,Minardi,51,16,+2 Laps,0
12,10,Taki Inoue,Footwork,51,18,+2 Laps,0
13,5,Damon Hill,Williams,40,4,Spun off,0
14,6,David Coulthard,Williams,39,6,Spun off,0
15,21,Pedro Diniz,Forti,32,20,Spun off,0
16,27,Jean Alesi,Ferrari,24,2,Engine,0
17,17,Andrea Montermini,Pacific,23,19,Spun off,0
18,28,Gerhard Berger,Ferrari,16,5,Electrical,0
19,14,Rubens Barrichello,Jordan,15,10,Spun off,0
20,3,Ukyo Katayama,Tyrrell,12,13,Spun off,0
21,16,Bertrand Gachot,Pacific,6,22,Halfshaft,0
22,22,Roberto Moreno,Forti,1,21,Gearbox,0
23,9,Gianni Morbidelli,Footwork,0,14,Spun off,0
24,25,Aguri Suzuki,Ligier,0,0,Accident,0
