round,raceName,date,time,circuit,country
1,Brazilian Grand Prix,1984-03-25,,Autódromo Internacional Nelson Piquet,Brazil
2,South African Grand Prix,1984-04-07,,Kyalami,South Africa
3,Belgian Grand Prix,1984-04-29,,Zolder,Belgium
4,San Marino Grand Prix,1984-05-06,,Autodromo Enzo e Dino Ferrari,Italy
5,French Grand Prix,1984-05-20,,Dijon-Prenois,France
6,Monaco Grand Prix,1984-06-03,,Circuit de Monaco,Monaco
7,Canadian Grand Prix,1984-06-17,,Circuit Gilles Villeneuve,Canada
8,Detroit Grand Prix,1984-06-24,,Detroit Street Circuit,USA
9,Dallas Grand Prix,1984-07-08,,Fair Park,USA
10,British Grand Prix,1984-07-22,,Brands Hatch,UK
11,German Grand Prix,1984-08-05,,Hockenheimring,Germany
12,Austrian Grand Prix,1984-08-19,,Red Bull Ring,Austria
13,Dutch Grand Prix,1984-08-26,,Circuit Park Zandvoort,Netherlands
14,Italian Grand Prix,1984-09-09,,Autodromo Nazionale di Monza,Italy
15,European Grand Prix,1984-10-07,,Nürburgring,Germany
16,Portuguese Grand Prix,1984-10-21,,Autódromo do Estoril,Portugal
