Position,Driver,Constructor,Points,Wins
1,Jim Clark,Lotus-Climax,54,6
2,Richie Ginther,BRM,29,0
3,Graham Hill,BRM,25,2
4,John Surtees,Ferrari,22,1
5,Bruce McLaren,Cooper-Climax,14,0
6,Jack Brabham,Lotus-Climax,14,0
7,Dan Gurney,Brabham,13,0
8,Tony Maggs,Cooper-Climax,9,0
9,Innes Ireland,Lotus-BRM,6,0
10,Jo Bonnier,Cooper-Climax,5,0
11,Lorenzo Bandini,BRM,4,0
12,Gerhard Mitter,Porsche,3,0
13,Jim Hall,Lotus-BRM,3,0
14,Carel Godin de Beaufort,Porsche,2,0
15,Jo Siffert,Lotus-BRM,1,0
16,Trevor Taylor,Lotus-Climax,1,0
17,Ludovico Scarfiotti,Ferrari,1,0
18,Chris Amon,Lola,0,0
19,Hap Sharp,Lotus-BRM,0,0
20,Peter Broeker,Stebro,0,0
21,Maurice Trintignant,Lola,0,0
22,Mike Hailwood,Lotus-Climax,0,0
23,Tony Settember,Scirocco,0,0
24,Bernard Collomb,Lotus-Climax,0,0
25,Phil Hill,ATS,0,0
26,Masten Gregory,Lotus-BRM,0,0
27,Moisés Solana,BRM,0,0
28,Bob Anderson,Lola,0,0
29,John Campbell-Jones,Lotus-BRM,0,0
30,Mike Spence,Lotus-Climax,0,0
