position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:30.739,1:29.243,1:29.287
2,6,Nico Rosberg,Mercedes,1:30.724,1:29.970,1:29.606
3,33,Max Verstappen,Red Bull,1:31.305,1:30.697,1:30.313
4,3,Daniel Ricciardo,Red Bull,1:31.684,1:31.319,1:30.618
5,7,Kimi Räikkönen,Ferrari,1:31.326,1:31.385,1:30.881
6,5,Sebastian Vettel,Ferrari,1:31.606,1:30.711,1:31.490
7,77,Valtteri Bottas,Williams,1:31.913,1:31.478,1:31.557
8,55,Carlos Sainz,Toro Rosso,1:32.115,1:31.708,1:31.989
9,27,Nico Hülkenberg,Force India,1:32.349,1:31.770,1:32.172
10,14,Fernando Alonso,McLaren,1:32.281,1:31.740,1:32.343
11,11,Sergio Pérez,Force India,1:32.336,1:31.875,
12,19,Felipe Massa,Williams,1:32.146,1:32.002,
13,8,Romain Grosjean,Haas F1 Team,1:32.283,1:32.050,
14,21,Esteban Gutiérrez,Haas F1 Team,1:32.237,1:32.241,
15,26,Daniil Kvyat,Toro Rosso,1:32.553,1:32.306,
16,20,Kevin Magnussen,Renault,1:32.729,1:37.060,
17,22,Jenson Button,McLaren,1:32.788,,
18,30,Jolyon Palmer,Renault,1:32.905,,
19,88,Rio Haryanto,Manor Marussia,1:33.098,,
20,94,Pascal Wehrlein,Manor Marussia,1:33.151,,
21,12,Felipe Nasr,Sauber,1:33.544,,
