position,number,driver,constructor,laps,grid,status,points
1,44,Lewis Hamilton,Mercedes,52,1,Finished,25
2,33,Max Verstappen,Red Bull,52,3,Finished,18
3,6,Nico Rosberg,Mercedes,52,2,Finished,15
4,3,Daniel Ricciardo,Red Bull,52,4,Finished,12
5,7,Kimi Räikkönen,Ferrari,52,5,Finished,10
6,11,Sergio Pérez,Force India,52,10,Finished,8
7,27,Nico Hülkenberg,Force India,52,8,Finished,6
8,55,Carlos Sainz,Toro Rosso,52,7,Finished,4
9,5,Sebastian Vettel,Ferrari,52,11,Finished,2
10,26,Daniil Kvyat,Toro Rosso,52,15,Finished,1
11,19,Felipe Massa,Williams,51,12,+1 Lap,0
12,22,Jenson Button,McLaren,51,17,+1 Lap,0
13,14,Fernando Alonso,McLaren,51,9,+1 Lap,0
14,77,Valtteri Bottas,Williams,51,6,+1 Lap,0
15,12,Felipe Nasr,Sauber,51,21,+1 Lap,0
16,21,Esteban Gutiérrez,Haas F1 Team,51,14,+1 Lap,0
17,20,Kevin Magnussen,Renault,49,16,Gearbox,0
18,30,Jolyon Palmer,Renault,37,18,Gearbox,0
19,88,Rio Haryanto,Manor Marussia,24,19,Spun off,0
20,8,Romain Grosjean,Haas F1 Team,17,13,Retired,0
21,9,Marcus Ericsson,Sauber,11,22,Power Unit,0
22,94,Pascal Wehrlein,Manor Marussia,6,20,Spun off,0
