Position,Driver,Constructor,Points,Wins
1,Niki Lauda,Ferrari,30,2
2,James Hunt,McLaren,15,1
3,Patrick Depailler,Tyrrell,10,0
4,Clay Regazzoni,Ferrari,9,1
5,Jochen Mass,McLaren,7,0
6,Jody Scheckter,Tyrrell,5,0
7,Tom Pryce,Shadow,4,0
8,Gunnar Nilsson,Team Lotus,4,0
9,Hans-Joachim Stuck,March,3,0
10,Jacques Laffite,Ligier,3,0
11,Carlos Reutemann,Brabham-Alfa Romeo,3,0
12,Chris Amon,Ensign,2,0
13,John Watson,Penske,2,0
14,Carlos Pace,Brabham-Alfa Romeo,1,0
15,Emerson Fittipaldi,Fittipaldi,1,0
16,Mario Andretti,Team Lotus,1,0
17,Jacky Ickx,Wolf,0,0
18,Jean-Pierre Jarier,Shadow,0,0
19,Vittorio Brambilla,March,0,0
20,Alan Jones,Surtees,0,0
21,Renzo Zorzi,Williams,0,0
22,Michel Leclère,Wolf,0,0
23,Ronnie Peterson,Team Lotus,0,0
24,Bob Evans,Team Lotus,0,0
25,Ingo Hoffmann,Fittipaldi,0,0
26,Brett Lunger,Surtees,0,0
27,Larry Perkins,Boro,0,0
28,Lella Lombardi,March,0,0
29,Harald Ertl,Hesketh,0,0
30,Arturo Merzario,March,0,0
