position,number,driver,constructor,laps,grid,status,points
1,12,Gilles Villeneuve,Ferrari,80,1,Finished,9
2,11,Jody Scheckter,Ferrari,80,3,Finished,6
3,27,Alan Jones,Williams,80,10,Finished,4
4,1,Mario Andretti,Team Lotus,80,6,Finished,3
5,25,Patrick Depailler,Ligier,80,4,Finished,2
6,4,Jean-Pierre Jarier,Tyrrell,79,7,+1 Lap,1
7,18,Elio de Angelis,Shadow,78,20,+2 Laps,0
8,6,Nelson Piquet,Brabham-Alfa Romeo,78,12,+2 Laps,0
9,30,Jochen Mass,Arrows,78,13,+2 Laps,0
10,3,Didier Pironi,Tyrrell,72,17,Disqualified,0
11,31,Hector Rebaque,Team Lotus,71,23,Accident,0
12,22,Derek Daly,Ensign,69,24,Accident,0
13,7,John Watson,McLaren,62,18,Injection,0
14,9,Hans-Joachim Stuck,ATS,49,21,Disqualified,0
15,28,Clay Regazzoni,Williams,48,15,Engine,0
16,17,Jan Lammers,Shadow,47,14,Suspension,0
17,29,Riccardo Patrese,Arrows,40,9,Brakes,0
18,2,Carlos Reutemann,Team Lotus,21,2,Transmission,0
19,14,Emerson Fittipaldi,Fittipaldi,19,16,Transmission,0
20,24,Arturo Merzario,Merzario,13,22,Engine,0
21,26,Jacques Laffite,Ligier,8,5,Brakes,0
22,20,James Hunt,Wolf,0,8,Transmission,0
23,5,Niki Lauda,Brabham-Alfa Romeo,0,11,Accident,0
24,8,Patrick Tambay,McLaren,0,19,Collision,0
25,16,René Arnoux,Renault,0,0,Withdrew,0
26,15,Jean-Pierre Jabouille,Renault,0,0,Withdrew,0
